
 Number of Umbra seen   4

 Number of total sunspots   27

 Percentage of Umbra area with Penumbra  0.40

 Percentage of of sunspots in Umbra  0.60

 Percent Umbra area to total group area  0.30
 
 Days,      Umbra,       Pores,  CWSA, CUA
    1,      0.6731,      8.1978,  10,  50
    1,     15.3357,      2.0628,   2,  10
    1,     10.9541,     10.3955,  14,  70
    1,      8.5198,     10.3970,  14,  70
    1,      6.9708,     24.1886,  93, 550
    1,      5.8983,     20.2660,  51, 300
    1,      5.1119,      3.8815,   4,  20
    1,      4.5105,     23.3748,  81, 480
    1,      4.0357,     17.8419,  37, 220
    1,      3.6514,      8.1970,  10,  50
    1,      3.3338,     16.1953,  30, 180
    1,      3.0671,      5.4870,   6,  30
    1,      2.8399,     18.2498,  39, 230
    1,      2.6441,      6.9163,   8,  40
    2,      2.4735,      5.4871,   6,  30
    2,      2.3236,      5.4872,   6,  30
    2,      2.1908,     10.3981,  14,  70
    2,      2.0724,     24.0007,  90, 530
    2,      1.9661,      8.1974,  10,  50
    2,      1.8702,      3.8826,   4,  20
    2,      1.7832,     23.6652,  85, 500
    2,      1.7040,     17.8421,  37, 220
    2,      1.6315,      6.9165,   8,  40
    2,      1.5649,     13.7554,  22, 130
    2,      1.5035,     10.3983,  14,  70
    2,      1.4468,     19.9735,  49, 290
    2,      1.3942,      6.9166,   8,  40
   26,      1.3452,      2.0682,   2,  10
   26,      1.2996,      5.4874,   6,  30
   26,      1.2570,     12.2211,  18,  90
   26,      1.2171,     23.8700,  88, 520
   26,      1.1797,     23.3749,  81, 480
   26,      1.1445,     16.7048,  32, 190
   26,      1.1113,      2.0683,   2,  10
   26,      1.0800,      2.0683,   2, 150
   26,      1.0504,      6.9166,   8,  40
   26,      1.0224,     18.2500,  39, 230
   26,      0.9958,      5.4875,   6,  30
   27,      0.9706,     23.0625,  77, 460
   27,      0.9466,      2.0683,   2,  10
   27,      0.9238,      8.1976,  10,  50
   27,      0.9021,     22.3608,  69, 410
   27,      0.8814,     17.1816,  34, 200
   27,      0.8616,     13.7555,  22, 130
   27,      0.8426,      6.9167,   8,  40
   27,      0.8245,     17.1816,  34, 200
   27,      0.8071,      2.0683,   2,  10
   27,      0.7905,     11.3507,  16,  80
   27,      0.7745,      9.3523,  12,  60
   27,      0.7592,      2.0684,   2,  10
   27,      0.7445,      2.0684,   2,  10
   27,      0.7303,      5.4876,   6,  30
   28,      0.7166,      3.0044,   3,  15
   28,      0.7035,     21.8607,  64, 380
   28,      0.6908,     22.8122,  74, 440
   28,      0.6786,     13.7555,  22, 130
   28,      0.6668,     14.1019,  23, 140
   28,      0.6554,      5.4876,   6,  30
   28,      0.6444,     16.1956,  30, 180
   28,      0.6337,      3.8830,   4,  20
   28,      0.6234,     14.1019,  23, 140
   28,      0.6134,     14.1019,  23, 140
   28,      0.6038,      5.4876,   6,  30
   28,      0.5944,     12.2211,  18,  90
   28,      0.5853,     10.3984,  14,  70
   29,      0.5765,      3.8830,   4,  20
   29,      0.5680,     23.2216,  79, 470
   29,      0.5597,     11.3507,  16,  80
   29,      0.5516,     12.2212,  18, 110
   29,      0.5438,      2.0684,   2,  10
   29,      0.5362,     11.7955,  17, 100
   29,      0.5288,     11.3507,  16,  80
   29,      0.5216,     11.3507,  16,  80
   29,      0.5146,      2.0684,   2, 150
   29,      0.5078,      3.8830,   4,  20
   30,      0.5012,     20.2663,  51, 300
   30,      0.4947,      3.8830,   4,  20
   30,      0.4884,     11.3507,  16,  80
   30,      0.4823,     12.2212,  18,  90
   30,      0.4763,      6.9168,   8,  40
   30,      0.4704,     20.4072,  52, 310
   30,      0.4647,      5.4877,   6,  30
